CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,02-05-03 Biomedical sciences (non-specific),First degree,2022/23,Male,3025
CAH level 3,02-05-03 Biomedical sciences (non-specific),First degree,2022/23,Unknown,55
CAH level 3,02-05-03 Biomedical sciences (non-specific),First degree,2022/23,Total,9975
CAH level 3,02-05-03 Biomedical sciences (non-specific),Other undergraduate,2022/23,Female,0
CAH level 3,02-05-03 Biomedical sciences (non-specific),Other undergraduate,2022/23,Male,0
CAH level 3,02-05-03 Biomedical sciences (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,02-05-03 Biomedical sciences (non-specific),Other undergraduate,2022/23,Total,0
CAH level 3,02-05-03 Biomedical sciences (non-specific),All,2022/23,Female,6895
CAH level 3,02-05-03 Biomedical sciences (non-specific),All,2022/23,Male,3025
CAH level 3,02-05-03 Biomedical sciences (non-specific),All,2022/23,Unknown,55
CAH level 3,02-05-03 Biomedical sciences (non-specific),All,2022/23,Total,9975
CAH level 3,"02-05-04 Anatomy, physiology and pathology",First degree,2022/23,Female,345
CAH level 3,"02-05-04 Anatomy, physiology and pathology",First degree,2022/23,Male,210
CAH level 3,"02-05-04 Anatomy, physiology and pathology",First degree,2022/23,Unknown,5
CAH level 3,"02-05-04 Anatomy, physiology and pathology",First degree,2022/23,Total,560
CAH level 3,"02-05-04 Anatomy, physiology and pathology",All,2022/23,Female,345
CAH level 3,"02-05-04 Anatomy, physiology and pathology",All,2022/23,Male,210
CAH level 3,"02-05-04 Anatomy, physiology and pathology",All,2022/23,Unknown,5
CAH level 3,"02-05-04 Anatomy, physiology and pathology",All,2022/23,Total,560
CAH level 3,02-06-01 Health sciences (non-specific),First degree,2022/23,Female,255
CAH level 3,02-06-01 Health sciences (non-specific),First degree,2022/23,Male,95
CAH level 3,02-06-01 Health sciences (non-specific),First degree,2022/23,Unknown,0
CAH level 3,02-06-01 Health sciences (non-specific),First degree,2022/23,Total,350
CAH level 3,02-06-01 Health sciences (non-specific),All,2022/23,Female,255
CAH level 3,02-06-01 Health sciences (non-specific),All,2022/23,Male,95
CAH level 3,02-06-01 Health sciences (non-specific),All,2022/23,Unknown,0
CAH level 3,02-06-01 Health sciences (non-specific),All,2022/23,Total,350
CAH level 3,02-06-02 Nutrition and dietetics,First degree,2022/23,Female,1055
CAH level 3,02-06-02 Nutrition and dietetics,First degree,2022/23,Male,195
CAH level 3,02-06-02 Nutrition and dietetics,First degree,2022/23,Unknown,0
CAH level 3,02-06-02 Nutrition and dietetics,First degree,2022/23,Total,1255
CAH level 3,02-06-02 Nutrition and dietetics,All,2022/23,Female,1055
CAH level 3,02-06-02 Nutrition and dietetics,All,2022/23,Male,195
CAH level 3,02-06-02 Nutrition and dietetics,All,2022/23,Unknown,0
CAH level 3,02-06-02 Nutrition and dietetics,All,2022/23,Total,1255
CAH level 3,02-06-03 Ophthalmics,First degree,2022/23,Female,15
CAH level 3,02-06-03 Ophthalmics,First degree,2022/23,Male,5
CAH level 3,02-06-03 Ophthalmics,First degree,2022/23,Unknown,0
CAH level 3,02-06-03 Ophthalmics,First degree,2022/23,Total,20
CAH level 3,02-06-03 Ophthalmics,All,2022/23,Female,15
CAH level 3,02-06-03 Ophthalmics,All,2022/23,Male,5
CAH level 3,02-06-03 Ophthalmics,All,2022/23,Unknown,0
CAH level 3,02-06-03 Ophthalmics,All,2022/23,Total,20
CAH level 3,02-06-04 Environmental and public health,First degree,2022/23,Female,370
CAH level 3,02-06-04 Environmental and public health,First degree,2022/23,Male,95
CAH level 3,02-06-04 Environmental and public health,First degree,2022/23,Unknown,0
CAH level 3,02-06-04 Environmental and public health,First degree,2022/23,Total,465
CAH level 3,02-06-04 Environmental and public health,All,2022/23,Female,370
CAH level 3,02-06-04 Environmental and public health,All,2022/23,Male,95
CAH level 3,02-06-04 Environmental and public health,All,2022/23,Unknown,0
CAH level 3,02-06-04 Environmental and public health,All,2022/23,Total,465
CAH level 3,02-06-05 Physiotherapy,First degree,2022/23,Female,50
CAH level 3,02-06-05 Physiotherapy,First degree,2022/23,Male,50
CAH level 3,02-06-05 Physiotherapy,First degree,2022/23,Unknown,0
CAH level 3,02-06-05 Physiotherapy,First degree,2022/23,Total,105
CAH level 3,02-06-05 Physiotherapy,All,2022/23,Female,50
CAH level 3,02-06-05 Physiotherapy,All,2022/23,Male,50
CAH level 3,02-06-05 Physiotherapy,All,2022/23,Unknown,0
CAH level 3,02-06-05 Physiotherapy,All,2022/23,Total,105
CAH level 3,02-06-06 Complementary and alternative medicine,First degree,2022/23,Female,15
CAH level 3,02-06-06 Complementary and alternative medicine,First degree,2022/23,Male,5
CAH level 3,02-06-06 Complementary and alternative medicine,First degree,2022/23,Unknown,0
CAH level 3,02-06-06 Complementary and alternative medicine,First degree,2022/23,Total,15
CAH level 3,02-06-06 Complementary and alternative medicine,All,2022/23,Female,15
CAH level 3,02-06-06 Complementary and alternative medicine,All,2022/23,Male,5
CAH level 3,02-06-06 Complementary and alternative medicine,All,2022/23,Unknown,0
CAH level 3,02-06-06 Complementary and alternative medicine,All,2022/23,Total,15
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",First degree,2022/23,Female,545
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",First degree,2022/23,Male,105
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",First degree,2022/23,Unknown,5
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",First degree,2022/23,Total,655
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",All,2022/23,Female,545
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",All,2022/23,Male,105
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",All,2022/23,Unknown,5
CAH level 3,"02-06-07 Counselling, psychotherapy and occupational therapy",All,2022/23,Total,655
CAH level 3,03-01-01 Biosciences (non-specific),First degree,2022/23,Female,2365
CAH level 3,03-01-01 Biosciences (non-specific),First degree,2022/23,Male,1180
CAH level 3,03-01-01 Biosciences (non-specific),First degree,2022/23,Unknown,10
CAH level 3,03-01-01 Biosciences (non-specific),First degree,2022/23,Total,3555
CAH level 3,03-01-01 Biosciences (non-specific),All,2022/23,Female,2365
CAH level 3,03-01-01 Biosciences (non-specific),All,2022/23,Male,1180
CAH level 3,03-01-01 Biosciences (non-specific),All,2022/23,Unknown,10
CAH level 3,03-01-01 Biosciences (non-specific),All,2022/23,Total,3555
CAH level 3,03-01-02 Biology (non-specific),First degree,2022/23,Female,1625
CAH level 3,03-01-02 Biology (non-specific),First degree,2022/23,Male,1010
CAH level 3,03-01-02 Biology (non-specific),First degree,2022/23,Unknown,10
CAH level 3,03-01-02 Biology (non-specific),First degree,2022/23,Total,2645
CAH level 3,03-01-02 Biology (non-specific),Other undergraduate,2022/23,Female,0
CAH level 3,03-01-02 Biology (non-specific),Other undergraduate,2022/23,Male,5
CAH level 3,03-01-02 Biology (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,03-01-02 Biology (non-specific),Other undergraduate,2022/23,Total,5
CAH level 3,03-01-02 Biology (non-specific),All,2022/23,Female,1625
CAH level 3,03-01-02 Biology (non-specific),All,2022/23,Male,1015
CAH level 3,03-01-02 Biology (non-specific),All,2022/23,Unknown,10
CAH level 3,03-01-02 Biology (non-specific),All,2022/23,Total,2650
CAH level 3,03-01-03 Ecology and environmental biology,First degree,2022/23,Female,1375
CAH level 3,03-01-03 Ecology and environmental biology,First degree,2022/23,Male,935
CAH level 3,03-01-03 Ecology and environmental biology,First degree,2022/23,Unknown,10
CAH level 3,03-01-03 Ecology and environmental biology,First degree,2022/23,Total,2320
CAH level 3,03-01-03 Ecology and environmental biology,Other undergraduate,2022/23,Female,0
CAH level 3,03-01-03 Ecology and environmental biology,Other undergraduate,2022/23,Male,0
CAH level 3,03-01-03 Ecology and environmental biology,Other undergraduate,2022/23,Unknown,0
CAH level 3,03-01-03 Ecology and environmental biology,Other undergraduate,2022/23,Total,5
CAH level 3,03-01-03 Ecology and environmental biology,All,2022/23,Female,1375
CAH level 3,03-01-03 Ecology and environmental biology,All,2022/23,Male,940
CAH level 3,03-01-03 Ecology and environmental biology,All,2022/23,Unknown,10
CAH level 3,03-01-03 Ecology and environmental biology,All,2022/23,Total,2325
CAH level 3,03-01-04 Microbiology and cell science,First degree,2022/23,Female,160
CAH level 3,03-01-04 Microbiology and cell science,First degree,2022/23,Male,105
CAH level 3,03-01-04 Microbiology and cell science,First degree,2022/23,Unknown,0
CAH level 3,03-01-04 Microbiology and cell science,First degree,2022/23,Total,265
CAH level 3,03-01-04 Microbiology and cell science,All,2022/23,Female,160
CAH level 3,03-01-04 Microbiology and cell science,All,2022/23,Male,105
CAH level 3,03-01-04 Microbiology and cell science,All,2022/23,Unknown,0
CAH level 3,03-01-04 Microbiology and cell science,All,2022/23,Total,265
CAH level 3,03-01-05 Plant sciences,First degree,2022/23,Female,15
CAH level 3,03-01-05 Plant sciences,First degree,2022/23,Male,10
CAH level 3,03-01-05 Plant sciences,First degree,2022/23,Unknown,0
CAH level 3,03-01-05 Plant sciences,First degree,2022/23,Total,25
CAH level 3,03-01-05 Plant sciences,All,2022/23,Female,15
CAH level 3,03-01-05 Plant sciences,All,2022/23,Male,10
CAH level 3,03-01-05 Plant sciences,All,2022/23,Unknown,0
CAH level 3,03-01-05 Plant sciences,All,2022/23,Total,25
CAH level 3,03-01-06 Zoology,First degree,2022/23,Female,1900
CAH level 3,03-01-06 Zoology,First degree,2022/23,Male,995
CAH level 3,03-01-06 Zoology,First degree,2022/23,Unknown,25
CAH level 3,03-01-06 Zoology,First degree,2022/23,Total,2920
CAH level 3,03-01-06 Zoology,Other undergraduate,2022/23,Female,0
CAH level 3,03-01-06 Zoology,Other undergraduate,2022/23,Male,0
CAH level 3,03-01-06 Zoology,Other undergraduate,2022/23,Unknown,0
CAH level 3,03-01-06 Zoology,Other undergraduate,2022/23,Total,0
CAH level 3,03-01-06 Zoology,All,2022/23,Female,1900
CAH level 3,03-01-06 Zoology,All,2022/23,Male,995
CAH level 3,03-01-06 Zoology,All,2022/23,Unknown,25
CAH level 3,03-01-06 Zoology,All,2022/23,Total,2920
CAH level 3,03-01-07 Genetics,First degree,2022/23,Female,85
CAH level 3,03-01-07 Genetics,First degree,2022/23,Male,40
CAH level 3,03-01-07 Genetics,First degree,2022/23,Unknown,0
CAH level 3,03-01-07 Genetics,First degree,2022/23,Total,130
CAH level 3,03-01-07 Genetics,All,2022/23,Female,85
CAH level 3,03-01-07 Genetics,All,2022/23,Male,40
CAH level 3,03-01-07 Genetics,All,2022/23,Unknown,0
CAH level 3,03-01-07 Genetics,All,2022/23,Total,130
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",First degree,2022/23,Female,1555
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",First degree,2022/23,Male,1010
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",First degree,2022/23,Unknown,5
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",First degree,2022/23,Total,2570
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",All,2022/23,Female,1555
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",All,2022/23,Male,1010
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",All,2022/23,Unknown,5
CAH level 3,"03-01-08 Molecular biology, biophysics and biochemistry",All,2022/23,Total,2570
CAH level 3,03-01-10 Others in biosciences,First degree,2022/23,Female,355
CAH level 3,03-01-10 Others in biosciences,First degree,2022/23,Male,145
CAH level 3,03-01-10 Others in biosciences,First degree,2022/23,Unknown,0
CAH level 3,03-01-10 Others in biosciences,First degree,2022/23,Total,500
CAH level 3,03-01-10 Others in biosciences,Other undergraduate,2022/23,Female,5
CAH level 3,03-01-10 Others in biosciences,Other undergraduate,2022/23,Male,0
CAH level 3,03-01-10 Others in biosciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,03-01-10 Others in biosciences,Other undergraduate,2022/23,Total,10
CAH level 3,03-01-10 Others in biosciences,All,2022/23,Female,360
CAH level 3,03-01-10 Others in biosciences,All,2022/23,Male,145
CAH level 3,03-01-10 Others in biosciences,All,2022/23,Unknown,0
CAH level 3,03-01-10 Others in biosciences,All,2022/23,Total,510
CAH level 3,03-02-01 Sport and exercise sciences,First degree,2022/23,Female,3400
CAH level 3,03-02-01 Sport and exercise sciences,First degree,2022/23,Male,7245
CAH level 3,03-02-01 Sport and exercise sciences,First degree,2022/23,Unknown,50
CAH level 3,03-02-01 Sport and exercise sciences,First degree,2022/23,Total,10700
CAH level 3,03-02-01 Sport and exercise sciences,Other undergraduate,2022/23,Female,0
CAH level 3,03-02-01 Sport and exercise sciences,Other undergraduate,2022/23,Male,5
CAH level 3,03-02-01 Sport and exercise sciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,03-02-01 Sport and exercise sciences,Other undergraduate,2022/23,Total,10
CAH level 3,03-02-01 Sport and exercise sciences,All,2022/23,Female,3405
CAH level 3,03-02-01 Sport and exercise sciences,All,2022/23,Male,7255
CAH level 3,03-02-01 Sport and exercise sciences,All,2022/23,Unknown,50
CAH level 3,03-02-01 Sport and exercise sciences,All,2022/23,Total,10705
CAH level 3,04-01-01 Psychology (non-specific),First degree,2022/23,Female,15565
CAH level 3,04-01-01 Psychology (non-specific),First degree,2022/23,Male,3455
CAH level 3,04-01-01 Psychology (non-specific),First degree,2022/23,Unknown,120
CAH level 3,04-01-01 Psychology (non-specific),First degree,2022/23,Total,19140
CAH level 3,04-01-01 Psychology (non-specific),Other undergraduate,2022/23,Female,10
CAH level 3,04-01-01 Psychology (non-specific),Other undergraduate,2022/23,Male,5
CAH level 3,04-01-01 Psychology (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,04-01-01 Psychology (non-specific),Other undergraduate,2022/23,Total,15
CAH level 3,04-01-01 Psychology (non-specific),All,2022/23,Female,15575
CAH level 3,04-01-01 Psychology (non-specific),All,2022/23,Male,3460
CAH level 3,04-01-01 Psychology (non-specific),All,2022/23,Unknown,120
CAH level 3,04-01-01 Psychology (non-specific),All,2022/23,Total,19155
CAH level 3,04-01-02 Applied psychology,First degree,2022/23,Female,1625
CAH level 3,04-01-02 Applied psychology,First degree,2022/23,Male,415
CAH level 3,04-01-02 Applied psychology,First degree,2022/23,Unknown,10
CAH level 3,04-01-02 Applied psychology,First degree,2022/23,Total,2050
CAH level 3,04-01-02 Applied psychology,All,2022/23,Female,1625
CAH level 3,04-01-02 Applied psychology,All,2022/23,Male,415
CAH level 3,04-01-02 Applied psychology,All,2022/23,Unknown,10
CAH level 3,04-01-02 Applied psychology,All,2022/23,Total,2050
CAH level 3,04-01-03 Developmental psychology,First degree,2022/23,Female,90
CAH level 3,04-01-03 Developmental psychology,First degree,2022/23,Male,10
CAH level 3,04-01-03 Developmental psychology,First degree,2022/23,Unknown,0
CAH level 3,04-01-03 Developmental psychology,First degree,2022/23,Total,100
CAH level 3,04-01-03 Developmental psychology,All,2022/23,Female,90
CAH level 3,04-01-03 Developmental psychology,All,2022/23,Male,10
CAH level 3,04-01-03 Developmental psychology,All,2022/23,Unknown,0
CAH level 3,04-01-03 Developmental psychology,All,2022/23,Total,100
CAH level 3,04-01-04 Psychology and health,First degree,2022/23,Female,170
CAH level 3,04-01-04 Psychology and health,First degree,2022/23,Male,40
CAH level 3,04-01-04 Psychology and health,First degree,2022/23,Unknown,0
CAH level 3,04-01-04 Psychology and health,First degree,2022/23,Total,210
CAH level 3,04-01-04 Psychology and health,Other undergraduate,2022/23,Female,0
CAH level 3,04-01-04 Psychology and health,Other undergraduate,2022/23,Male,0
CAH level 3,04-01-04 Psychology and health,Other undergraduate,2022/23,Unknown,0
CAH level 3,04-01-04 Psychology and health,Other undergraduate,2022/23,Total,0
CAH level 3,04-01-04 Psychology and health,All,2022/23,Female,170
CAH level 3,04-01-04 Psychology and health,All,2022/23,Male,40
CAH level 3,04-01-04 Psychology and health,All,2022/23,Unknown,0
CAH level 3,04-01-04 Psychology and health,All,2022/23,Total,210
CAH level 3,04-01-05 Others in psychology,First degree,2022/23,Female,210
CAH level 3,04-01-05 Others in psychology,First degree,2022/23,Male,35
CAH level 3,04-01-05 Others in psychology,First degree,2022/23,Unknown,0
CAH level 3,04-01-05 Others in psychology,First degree,2022/23,Total,240
CAH level 3,04-01-05 Others in psychology,All,2022/23,Female,210
CAH level 3,04-01-05 Others in psychology,All,2022/23,Male,35
CAH level 3,04-01-05 Others in psychology,All,2022/23,Unknown,0
CAH level 3,04-01-05 Others in psychology,All,2022/23,Total,240
CAH level 3,05-01-01 Veterinary medicine and dentistry,First degree,2022/23,Female,805
CAH level 3,05-01-01 Veterinary medicine and dentistry,First degree,2022/23,Male,190
CAH level 3,05-01-01 Veterinary medicine and dentistry,First degree,2022/23,Unknown,0
CAH level 3,05-01-01 Veterinary medicine and dentistry,First degree,2022/23,Total,990
CAH level 3,05-01-01 Veterinary medicine and dentistry,All,2022/23,Female,805
CAH level 3,05-01-01 Veterinary medicine and dentistry,All,2022/23,Male,190
CAH level 3,05-01-01 Veterinary medicine and dentistry,All,2022/23,Unknown,0
CAH level 3,05-01-01 Veterinary medicine and dentistry,All,2022/23,Total,990
CAH level 3,05-01-02 Others in veterinary sciences,First degree,2022/23,Female,890
CAH level 3,05-01-02 Others in veterinary sciences,First degree,2022/23,Male,55
CAH level 3,05-01-02 Others in veterinary sciences,First degree,2022/23,Unknown,5
CAH level 3,05-01-02 Others in veterinary sciences,First degree,2022/23,Total,945
CAH level 3,05-01-02 Others in veterinary sciences,Other undergraduate,2022/23,Female,20
CAH level 3,05-01-02 Others in veterinary sciences,Other undergraduate,2022/23,Male,0
CAH level 3,05-01-02 Others in veterinary sciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,05-01-02 Others in veterinary sciences,Other undergraduate,2022/23,Total,20
CAH level 3,05-01-02 Others in veterinary sciences,All,2022/23,Female,910
CAH level 3,05-01-02 Others in veterinary sciences,All,2022/23,Male,55
CAH level 3,05-01-02 Others in veterinary sciences,All,2022/23,Unknown,5
CAH level 3,05-01-02 Others in veterinary sciences,All,2022/23,Total,965
CAH level 3,06-01-01 Animal science,First degree,2022/23,Female,2120
CAH level 3,06-01-01 Animal science,First degree,2022/23,Male,270
CAH level 3,06-01-01 Animal science,First degree,2022/23,Unknown,5
CAH level 3,06-01-01 Animal science,First degree,2022/23,Total,2395
CAH level 3,06-01-01 Animal science,Other undergraduate,2022/23,Female,10
CAH level 3,06-01-01 Animal science,Other undergraduate,2022/23,Male,0
CAH level 3,06-01-01 Animal science,Other undergraduate,2022/23,Unknown,0
CAH level 3,06-01-01 Animal science,Other undergraduate,2022/23,Total,15
CAH level 3,06-01-01 Animal science,All,2022/23,Female,2130
CAH level 3,06-01-01 Animal science,All,2022/23,Male,270
CAH level 3,06-01-01 Animal science,All,2022/23,Unknown,5
CAH level 3,06-01-01 Animal science,All,2022/23,Total,2405
CAH level 3,06-01-02 Agricultural sciences,First degree,2022/23,Female,20
CAH level 3,06-01-02 Agricultural sciences,First degree,2022/23,Male,20
CAH level 3,06-01-02 Agricultural sciences,First degree,2022/23,Unknown,0
CAH level 3,06-01-02 Agricultural sciences,First degree,2022/23,Total,40
CAH level 3,06-01-02 Agricultural sciences,All,2022/23,Female,20
CAH level 3,06-01-02 Agricultural sciences,All,2022/23,Male,20
CAH level 3,06-01-02 Agricultural sciences,All,2022/23,Unknown,0
CAH level 3,06-01-02 Agricultural sciences,All,2022/23,Total,40
CAH level 3,06-01-03 Agriculture,First degree,2022/23,Female,660
CAH level 3,06-01-03 Agriculture,First degree,2022/23,Male,750
CAH level 3,06-01-03 Agriculture,First degree,2022/23,Unknown,0
CAH level 3,06-01-03 Agriculture,First degree,2022/23,Total,1415
CAH level 3,06-01-03 Agriculture,Other undergraduate,2022/23,Female,35
CAH level 3,06-01-03 Agriculture,Other undergraduate,2022/23,Male,75
CAH level 3,06-01-03 Agriculture,Other undergraduate,2022/23,Unknown,0
CAH level 3,06-01-03 Agriculture,Other undergraduate,2022/23,Total,110
CAH level 3,06-01-03 Agriculture,All,2022/23,Female,695
CAH level 3,06-01-03 Agriculture,All,2022/23,Male,825
CAH level 3,06-01-03 Agriculture,All,2022/23,Unknown,0
CAH level 3,06-01-03 Agriculture,All,2022/23,Total,1525
CAH level 3,06-01-04 Rural estate management,First degree,2022/23,Female,15
CAH level 3,06-01-04 Rural estate management,First degree,2022/23,Male,15
CAH level 3,06-01-04 Rural estate management,First degree,2022/23,Unknown,0
CAH level 3,06-01-04 Rural estate management,First degree,2022/23,Total,30
CAH level 3,06-01-04 Rural estate management,All,2022/23,Female,15
CAH level 3,06-01-04 Rural estate management,All,2022/23,Male,15
CAH level 3,06-01-04 Rural estate management,All,2022/23,Unknown,0
CAH level 3,06-01-04 Rural estate management,All,2022/23,Total,30
CAH level 3,06-01-05 Forestry and arboriculture,First degree,2022/23,Female,15
CAH level 3,06-01-05 Forestry and arboriculture,First degree,2022/23,Male,60
CAH level 3,06-01-05 Forestry and arboriculture,First degree,2022/23,Unknown,5
CAH level 3,06-01-05 Forestry and arboriculture,First degree,2022/23,Total,80
CAH level 3,06-01-05 Forestry and arboriculture,All,2022/23,Female,15
CAH level 3,06-01-05 Forestry and arboriculture,All,2022/23,Male,60
CAH level 3,06-01-05 Forestry and arboriculture,All,2022/23,Unknown,5
CAH level 3,06-01-05 Forestry and arboriculture,All,2022/23,Total,80
CAH level 3,06-01-06 Food and beverage studies (non-specific),First degree,2022/23,Female,85
CAH level 3,06-01-06 Food and beverage studies (non-specific),First degree,2022/23,Male,10
CAH level 3,06-01-06 Food and beverage studies (non-specific),First degree,2022/23,Unknown,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),First degree,2022/23,Total,100
CAH level 3,06-01-06 Food and beverage studies (non-specific),Other undergraduate,2022/23,Female,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),Other undergraduate,2022/23,Male,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),Other undergraduate,2022/23,Total,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),All,2022/23,Female,85
CAH level 3,06-01-06 Food and beverage studies (non-specific),All,2022/23,Male,15
CAH level 3,06-01-06 Food and beverage studies (non-specific),All,2022/23,Unknown,0
CAH level 3,06-01-06 Food and beverage studies (non-specific),All,2022/23,Total,100
CAH level 3,06-01-07 Food sciences,First degree,2022/23,Female,250
CAH level 3,06-01-07 Food sciences,First degree,2022/23,Male,80
CAH level 3,06-01-07 Food sciences,First degree,2022/23,Unknown,0
CAH level 3,06-01-07 Food sciences,First degree,2022/23,Total,330
CAH level 3,06-01-07 Food sciences,Other undergraduate,2022/23,Female,5
CAH level 3,06-01-07 Food sciences,Other undergraduate,2022/23,Male,0
CAH level 3,06-01-07 Food sciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,06-01-07 Food sciences,Other undergraduate,2022/23,Total,5
CAH level 3,06-01-07 Food sciences,All,2022/23,Female,255
CAH level 3,06-01-07 Food sciences,All,2022/23,Male,80
CAH level 3,06-01-07 Food sciences,All,2022/23,Unknown,0
CAH level 3,06-01-07 Food sciences,All,2022/23,Total,335
CAH level 3,06-01-08 Food and beverage production,First degree,2022/23,Female,160
CAH level 3,06-01-08 Food and beverage production,First degree,2022/23,Male,195
CAH level 3,06-01-08 Food and beverage production,First degree,2022/23,Unknown,0
CAH level 3,06-01-08 Food and beverage production,First degree,2022/23,Total,350
CAH level 3,06-01-08 Food and beverage production,Other undergraduate,2022/23,Female,40
CAH level 3,06-01-08 Food and beverage production,Other undergraduate,2022/23,Male,45
CAH level 3,06-01-08 Food and beverage production,Other undergraduate,2022/23,Unknown,0
CAH level 3,06-01-08 Food and beverage production,Other undergraduate,2022/23,Total,85
CAH level 3,06-01-08 Food and beverage production,All,2022/23,Female,200
CAH level 3,06-01-08 Food and beverage production,All,2022/23,Male,240
CAH level 3,06-01-08 Food and beverage production,All,2022/23,Unknown,0
CAH level 3,06-01-08 Food and beverage production,All,2022/23,Total,435
CAH level 3,07-01-01 Physics,First degree,2022/23,Female,370
CAH level 3,07-01-01 Physics,First degree,2022/23,Male,1065
CAH level 3,07-01-01 Physics,First degree,2022/23,Unknown,10
CAH level 3,07-01-01 Physics,First degree,2022/23,Total,1450
CAH level 3,07-01-01 Physics,All,2022/23,Female,370
CAH level 3,07-01-01 Physics,All,2022/23,Male,1065
CAH level 3,07-01-01 Physics,All,2022/23,Unknown,10
CAH level 3,07-01-01 Physics,All,2022/23,Total,1450
CAH level 3,07-01-02 Astronomy,First degree,2022/23,Female,70
CAH level 3,07-01-02 Astronomy,First degree,2022/23,Male,170
CAH level 3,07-01-02 Astronomy,First degree,2022/23,Unknown,0
CAH level 3,07-01-02 Astronomy,First degree,2022/23,Total,240
CAH level 3,07-01-02 Astronomy,All,2022/23,Female,70
CAH level 3,07-01-02 Astronomy,All,2022/23,Male,170
CAH level 3,07-01-02 Astronomy,All,2022/23,Unknown,0
CAH level 3,07-01-02 Astronomy,All,2022/23,Total,240
CAH level 3,07-02-01 Chemistry,First degree,2022/23,Female,2220
CAH level 3,07-02-01 Chemistry,First degree,2022/23,Male,1900
CAH level 3,07-02-01 Chemistry,First degree,2022/23,Unknown,15
CAH level 3,07-02-01 Chemistry,First degree,2022/23,Total,4140
CAH level 3,07-02-01 Chemistry,All,2022/23,Female,2220
CAH level 3,07-02-01 Chemistry,All,2022/23,Male,1900
CAH level 3,07-02-01 Chemistry,All,2022/23,Unknown,15
CAH level 3,07-02-01 Chemistry,All,2022/23,Total,4140
CAH level 3,07-04-01 Physical sciences (non-specific),First degree,2022/23,Female,10
CAH level 3,07-04-01 Physical sciences (non-specific),First degree,2022/23,Male,40
CAH level 3,07-04-01 Physical sciences (non-specific),First degree,2022/23,Unknown,0
CAH level 3,07-04-01 Physical sciences (non-specific),First degree,2022/23,Total,55
CAH level 3,07-04-01 Physical sciences (non-specific),All,2022/23,Female,10
CAH level 3,07-04-01 Physical sciences (non-specific),All,2022/23,Male,40
CAH level 3,07-04-01 Physical sciences (non-specific),All,2022/23,Unknown,0
CAH level 3,07-04-01 Physical sciences (non-specific),All,2022/23,Total,55
CAH level 3,07-04-02 Forensic and archaeological sciences,First degree,2022/23,Female,1925
CAH level 3,07-04-02 Forensic and archaeological sciences,First degree,2022/23,Male,700
CAH level 3,07-04-02 Forensic and archaeological sciences,First degree,2022/23,Unknown,15
CAH level 3,07-04-02 Forensic and archaeological sciences,First degree,2022/23,Total,2640
CAH level 3,07-04-02 Forensic and archaeological sciences,Other undergraduate,2022/23,Female,5
CAH level 3,07-04-02 Forensic and archaeological sciences,Other undergraduate,2022/23,Male,0
CAH level 3,07-04-02 Forensic and archaeological sciences,Other undergraduate,2022/23,Unknown,0
CAH level 3,07-04-02 Forensic and archaeological sciences,Other undergraduate,2022/23,Total,5
CAH level 3,07-04-02 Forensic and archaeological sciences,All,2022/23,Female,1925
CAH level 3,07-04-02 Forensic and archaeological sciences,All,2022/23,Male,700
CAH level 3,07-04-02 Forensic and archaeological sciences,All,2022/23,Unknown,15
CAH level 3,07-04-02 Forensic and archaeological sciences,All,2022/23,Total,2640
CAH level 3,07-04-03 Sciences (non-specific),First degree,2022/23,Female,100
CAH level 3,07-04-03 Sciences (non-specific),First degree,2022/23,Male,50
CAH level 3,07-04-03 Sciences (non-specific),First degree,2022/23,Unknown,0
CAH level 3,07-04-03 Sciences (non-specific),First degree,2022/23,Total,150
CAH level 3,07-04-03 Sciences (non-specific),All,2022/23,Female,100
CAH level 3,07-04-03 Sciences (non-specific),All,2022/23,Male,50
