CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 1,09 Mathematical sciences,First degree,2022/23,Unknown,55
CAH level 1,09 Mathematical sciences,First degree,2022/23,Total,5485
CAH level 1,09 Mathematical sciences,Other undergraduate,2022/23,Female,0
CAH level 1,09 Mathematical sciences,Other undergraduate,2022/23,Male,0
CAH level 1,09 Mathematical sciences,Other undergraduate,2022/23,Unknown,0
CAH level 1,09 Mathematical sciences,Other undergraduate,2022/23,Total,0
CAH level 1,09 Mathematical sciences,All,2022/23,Female,1805
CAH level 1,09 Mathematical sciences,All,2022/23,Male,3630
CAH level 1,09 Mathematical sciences,All,2022/23,Unknown,55
CAH level 1,09 Mathematical sciences,All,2022/23,Total,5490
CAH level 1,10 Engineering and technology,First degree,2022/23,Female,6895
CAH level 1,10 Engineering and technology,First degree,2022/23,Male,30580
CAH level 1,10 Engineering and technology,First degree,2022/23,Unknown,210
CAH level 1,10 Engineering and technology,First degree,2022/23,Total,37685
CAH level 1,10 Engineering and technology,Other undergraduate,2022/23,Female,35
CAH level 1,10 Engineering and technology,Other undergraduate,2022/23,Male,255
CAH level 1,10 Engineering and technology,Other undergraduate,2022/23,Unknown,0
CAH level 1,10 Engineering and technology,Other undergraduate,2022/23,Total,290
CAH level 1,10 Engineering and technology,All,2022/23,Female,6930
CAH level 1,10 Engineering and technology,All,2022/23,Male,30840
CAH level 1,10 Engineering and technology,All,2022/23,Unknown,210
CAH level 1,10 Engineering and technology,All,2022/23,Total,37975
CAH level 1,11 Computing,First degree,2022/23,Female,6470
CAH level 1,11 Computing,First degree,2022/23,Male,30485
CAH level 1,11 Computing,First degree,2022/23,Unknown,290
CAH level 1,11 Computing,First degree,2022/23,Total,37245
CAH level 1,11 Computing,Other undergraduate,2022/23,Female,5
CAH level 1,11 Computing,Other undergraduate,2022/23,Male,10
CAH level 1,11 Computing,Other undergraduate,2022/23,Unknown,0
CAH level 1,11 Computing,Other undergraduate,2022/23,Total,15
